Name,Number,Position,Age,Height,Weight,Salary
T.J. Warren,12.0,SF,22.0,6-8,230.0,2041080.0
Alan Williams,15.0,C,23.0,6-8,260.0,83397.0
Quincy Acy,13.0,SF,25.0,6-7,240.0,981348.0
James Anderson,5.0,SG,27.0,6-6,213.0,1015421.0
Marco Belinelli,3.0,SG,30.0,6-5,210.0,6060606.0
Caron Butler,31.0,SF,36.0,6-7,228.0,1449187.0
Omri Casspi,18.0,SF,27.0,6-9,225.0,2836186.0
Willie Cauley-Stein,0.0,C,22.0,7-0,240.0,3398280.0
Darren Collison,7.0,PG,28.0,6-0,175.0,5013559.0
DeMarcus Cousins,15.0,C,25.0,6-11,270.0,15851950.0
Seth Curry,30.0,SG,25.0,6-2,185.0,947276.0
Duje Dukan,26.0,PF,24.0,6-9,220.0,525093.0
Rudy Gay,8.0,SF,29.0,6-8,230.0,12403101.0
Kosta Koufos,41.0,C,27.0,7-0,265.0,7700000.0
Ben McLemore,23.0,SG,23.0,6-5,195.0,3156600.0
Eric Moreland,25.0,PF,24.0,6-10,238.0,845059.0
Rajon Rondo,9.0,PG,30.0,6-1,186.0,9500000.0
Cameron Bairstow,41.0,PF,25.0,6-9,250.0,845059.0
Aaron Brooks,0.0,PG,31.0,6-0,161.0,2250000.0
Jimmy Butler,21.0,SG,26.0,6-7,220.0,16407500.0
Mike Dunleavy,34.0,SG,35.0,6-9,230.0,4500000.0
Cristiano Felicio,6.0,PF,23.0,6-10,275.0,525093.0
Pau Gasol,16.0,C,35.0,7-0,250.0,7448760.0
Taj Gibson,22.0,PF,30.0,6-9,225.0,8500000.0
Justin Holiday,7.0,SG,27.0,6-6,185.0,947276.0
Doug McDermott,3.0,SF,24.0,6-8,225.0,2380440.0
Nikola Mirotic,44.0,PF,25.0,6-10,220.0,5543725.0
E'Twaun Moore,55.0,SG,27.0,6-4,191.0,1015421.0
Joakim Noah,13.0,C,31.0,6-11,232.0,13400000.0
Bobby Portis,5.0,PF,21.0,6-11,230.0,1391160.0
Derrick Rose,1.0,PG,27.0,6-3,190.0,20093064.0
Tony Snell,20.0,SF,24.0,6-7,200.0,1535880.0
Matthew Dellavedova,8.0,PG,25.0,6-4,198.0,1147276.0
Channing Frye,9.0,PF,33.0,6-11,255.0,8193029.0
Kyrie Irving,2.0,PG,24.0,6-3,193.0,16407501.0
LeBron James,23.0,SF,31.0,6-8,250.0,22970500.0
Richard Jefferson,24.0,SF,35.0,6-7,233.0,947276.0
Dahntay Jones,30.0,SG,35.0,6-6,225.0,2839073.0
James Jones,1.0,SG,35.0,6-8,218.0,947276.0
Sasha Kaun,14.0,C,31.0,6-11,260.0,1276000.0
Kevin Love,0.0,PF,27.0,6-10,251.0,19689000.0
Jordan McRae,12.0,SG,25.0,6-5,179.0,111196.0
Timofey Mozgov,20.0,C,29.0,7-1,275.0,4950000.0
Iman Shumpert,4.0,SG,25.0,6-5,220.0,8988765.0
J.R. Smith,5.0,SG,30.0,6-6,225.0,5000000.0
Tristan Thompson,13.0,C,25.0,6-9,238.0,14260870.0
Mo Williams,52.0,PG,33.0,6-1,198.0,2100000.0
Joel Anthony,50.0,C,33.0,6-9,245.0,2500000.0
Aron Baynes,12.0,C,29.0,6-10,260.0,6500000.0
Steve Blake,22.0,PG,36.0,6-3,172.0,2170465.0
Lorenzo Brown,17.0,PG,25.0,6-5,189.0,111444.0
Reggie Bullock,25.0,SF,25.0,6-7,205.0,1252440.0
Kentavious Caldwell-Pope,5.0,SG,23.0,6-5,205.0,2891760.0
Spencer Dinwiddie,8.0,PG,23.0,6-6,200.0,845059.0
Andre Drummond,0.0,C,22.0,6-11,279.0,3272091.0
Tobias Harris,34.0,SF,23.0,6-9,235.0,16000000.0
Darrun Hilliard,6.0,SF,23.0,6-6,205.0,600000.0
Reggie Jackson,1.0,PG,26.0,6-3,208.0,13913044.0
Stanley Johnson,3.0,SF,20.0,6-7,245.0,2841960.0
Jodie Meeks,20.0,SG,28.0,6-4,210.0,6270000.0
Marcus Morris,13.0,PF,26.0,6-9,235.0,5000000.0
Anthony Tolliver,43.0,PF,31.0,6-8,240.0,3000000.0
Lavoy Allen,5.0,PF,27.0,6-9,255.0,4050000.0
Rakeem Christmas,25.0,PF,24.0,6-9,250.0,1007026.0
Monta Ellis,11.0,SG,30.0,6-3,185.0,10300000.0
Paul George,13.0,SF,26.0,6-9,220.0,17120106.0
George Hill,3.0,PG,30.0,6-3,188.0,8000000.0
Jordan Hill,27.0,C,28.0,6-10,235.0,4000000.0
Solomon Hill,44.0,SF,25.0,6-7,225.0,1358880.0
Ty Lawson,10.0,PG,28.0,5-11,195.0,211744.0
Ian Mahinmi,28.0,C,29.0,6-11,250.0,4000000.0
C.J. Miles,0.0,SF,29.0,6-6,231.0,4394225.0
